,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,-0.0057815,0.32013,-0.080763,-0.32413,-0.85196,-0.43364,-0.29255
1,-0.0093991,0.29382,-0.11003,-0.35635,-0.91247,-0.77007,-0.36162
2,-0.014661,0.26652,-0.13601,-0.38661,-0.96772,-1.0348,-0.4116
3,-0.026171,0.24186,-0.15607,-0.40766,-1.0042,-1.1493,-0.43035
4,-0.038997,0.22114,-0.17186,-0.41555,-1.0157,-1.1252,-0.42114
5,-0.045574,0.20206,-0.18008,-0.40832,-1.0013,-1.0279,-0.39319
6,-0.039326,0.17871,-0.17778,-0.38332,-0.96607,-0.93187,-0.35931
7,-0.022883,0.14451,-0.16528,-0.34188,-0.91444,-0.8832,-0.32807
8,-0.0064392,0.10406,-0.14687,-0.2919,-0.84472,-0.88024,-0.30472
9,0.0024402,0.067556,-0.1268,-0.23533,-0.75823,-0.8661,-0.28762
10,0.0037556,0.045193,-0.10346,-0.17482,-0.65201,-0.7454,-0.2623
11,0.0054,0.042233,-0.07583,-0.10905,-0.52375,-0.45271,-0.20475
12,0.015924,0.058019,-0.045246,-0.035051,-0.36359,0.0001381,-0.10181
13,0.040918,0.081697,-0.012688,0.045522,-0.14719,0.51186,0.04322
14,0.084328,0.097812,0.023488,0.13464,0.13695,0.94267,0.21324
15,0.13793,0.099127,0.061965,0.22903,0.46943,1.1867,0.38162
16,0.18693,0.086959,0.10373,0.32177,0.8108,1.2133,0.51482
17,0.21752,0.068871,0.14714,0.40333,1.1209,1.0765,0.5796
18,0.22212,0.053743,0.18891,0.4668,1.364,0.86572,0.57072
19,0.19812,0.043877,0.2241,0.4987,1.5054,0.64143,0.50429
20,0.15602,0.036971,0.2481,0.48982,1.5251,0.41846,0.40991
21,0.11327,0.027105,0.25665,0.44871,1.4268,0.18858,0.3096
22,0.081039,0.0070443,0.24547,0.39116,1.236,-0.045903,0.22311
23,0.067556,-0.024527,0.21851,0.33229,0.99102,-0.27381,0.16523
24,0.074133,-0.067609,0.18299,0.28329,0.73581,-0.45337,0.13859
25,0.091234,-0.11398,0.14385,0.24679,0.51613,-0.54381,0.14024
26,0.10669,-0.15706,0.11031,0.21949,0.35696,-0.51849,0.15767
27,0.10998,-0.18732,0.088275,0.19614,0.25106,-0.35339,0.17378
28,0.098798,-0.20409,0.07808,0.1695,0.17345,-0.081421,0.17246
29,0.074133,-0.20869,0.074133,0.13201,0.10209,0.20338,0.14089
30,0.045851,-0.20179,0.069858,0.08959,0.027434,0.4178,0.077751
31,0.021186,-0.18896,0.063938,0.05177,-0.047219,0.53356,-0.002164
32,0.0054,-0.17581,0.055059,0.025132,-0.11036,0.57401,-0.08175
33,-0.0067681,-0.16824,0.041575,0.014937,-0.15476,0.58388,-0.15015
34,-0.01795,-0.1666,0.024145,0.01691,-0.17482,0.59605,-0.19916
35,-0.028802,-0.17022,0.0073732,0.019212,-0.17416,0.62137,-0.22086
36,-0.041299,-0.17811,-0.010386,0.020528,-0.15575,0.65491,-0.21165
37,-0.053467,-0.18863,-0.02354,0.023159,-0.11793,0.69471,-0.17811
