,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,-0.046022,0.038428,0.070584,-0.010618,0.2174,-3.4065,-0.23116
1,-0.032055,0.031932,0.074157,-0.019388,0.16998,-3.386,-0.27176
2,-0.026209,0.022188,0.072533,-0.026533,0.11021,-3.1213,-0.31756
3,-0.028157,0.010495,0.069285,-0.027833,0.052395,-2.5805,-0.35524
4,-0.033679,0.0020496,0.071558,-0.022311,0.011794,-1.7769,-0.37343
5,-0.036278,0.0036737,0.078379,-0.015815,-0.0057458,-0.81679,-0.37245
6,-0.032055,0.014717,0.0865,-0.0073698,-0.012242,0.10534,-0.36498
7,-0.02361,0.028034,0.09397,0.0069217,-0.018088,0.81082,-0.36401
8,-0.011917,0.038753,0.10534,0.030957,-0.0099683,1.3091,-0.36336
9,0.0052977,0.047523,0.12255,0.069934,0.0433,1.7667,-0.34062
10,0.029658,0.059865,0.14367,0.12028,0.15568,2.3478,-0.27631
11,0.063763,0.078704,0.1625,0.17127,0.31809,3.1144,-0.16425
12,0.098517,0.10371,0.1742,0.21317,0.5107,3.9384,-0.013866
13,0.12548,0.13035,0.1755,0.23916,0.69876,4.5244,0.14691
14,0.13782,0.14984,0.16868,0.24858,0.82771,4.5893,0.28853
15,0.13457,0.15731,0.15536,0.24468,0.84103,4.0553,0.39019
16,0.12093,0.15471,0.13782,0.22844,0.69714,3.0773,0.44509
17,0.095919,0.14399,0.11671,0.19758,0.41163,1.9191,0.45256
18,0.064088,0.12743,0.093321,0.15406,0.060515,0.86994,0.42397
19,0.03453,0.10339,0.073182,0.10631,-0.25357,0.15309,0.37655
20,0.01894,0.074157,0.059541,0.066686,-0.45366,-0.2487,0.32978
21,0.01894,0.046548,0.050121,0.037454,-0.52576,-0.55305,0.29503
22,0.029658,0.022512,0.044924,0.014717,-0.49783,-0.95321,0.27132
23,0.042651,0.0023744,0.038103,-0.0041217,-0.4137,-1.4544,0.24988
24,0.050771,-0.015165,0.028684,-0.019712,-0.29937,-1.9033,0.22032
25,0.044275,-0.029132,0.016341,-0.034004,-0.16977,-2.1014,0.17062
26,0.020888,-0.039526,-0.0028225,-0.044398,-0.054792,-1.9296,0.098193
27,-0.01549,-0.050569,-0.025234,-0.047321,0.012443,-1.3988,0.022837
28,-0.057715,-0.065186,-0.045372,-0.034978,0.027709,-0.61119,-0.021012
29,-0.09182,-0.078503,-0.05804,-0.0067202,0.022188,0.27684,-0.0093186
30,-0.10709,-0.084024,-0.059014,0.034855,0.053694,1.0785,0.061165
31,-0.098965,-0.077528,-0.047646,0.080653,0.17387,1.6641,0.1625
32,-0.070058,-0.05804,-0.02361,0.11995,0.3798,2.0025,0.258
33,-0.03303,-0.029782,0.0069217,0.14367,0.62471,2.1542,0.31386
34,0.00075039,-0.0024977,0.037129,0.14626,0.84233,2.1874,0.31354
35,0.021213,0.016016,0.06019,0.12937,0.9677,2.1169,0.26287
36,0.02641,0.023162,0.069934,0.10242,0.95601,1.9174,0.18622
37,0.025111,0.020564,0.066037,0.074806,0.81082,1.539,0.11508
38,0.028034,0.01764,0.054019,0.058241,0.57956,0.94919,0.069285
39,0.03583,0.021538,0.044924,0.053044,0.32621,0.14951,0.049796
40,0.048497,0.033556,0.044924,0.058891,0.10501,-0.77424,0.041351
41,0.064088,0.047523,0.053369,0.073182,-0.04927,-1.6366,0.025761
42,0.083576,0.058241,0.067661,0.091696,-0.13307,-2.2164,-0.0041217
43,0.10144,0.063438,0.082602,0.11378,-0.16393,-2.3262,-0.034978
44,0.11216,0.067661,0.096569,0.13295,-0.17432,-1.9559,-0.052193
45,0.11086,0.074806,0.10794,0.14204,-0.20453,-1.3417,-0.04992
46,0.10144,0.085525,0.11281,0.13879,-0.28508,-0.81127,-0.03303
47,0.089748,0.09462,0.10989,0.12158,-0.4267,-0.57708,-0.016464
48,0.078055,0.097868,0.097868,0.092021,-0.60794,-0.64659,-0.012242
49,0.064088,0.091372,0.079679,0.054344,-0.78431,-0.88013,-0.025234
50,0.047523,0.076755,0.06019,0.014717,-0.89734,-1.102,-0.053168
51,0.026085,0.054668,0.043625,-0.017439,-0.91066,-1.1699,-0.083375
52,0.0010752,0.026085,0.030308,-0.042124,-0.82946,-1.0143,-0.10774
53,-0.021986,-0.0067202,0.019264,-0.059989,-0.69369,-0.6651,-0.12722
54,-0.038876,-0.036278,0.011794,-0.072331,-0.54882,-0.23311,-0.13697
