,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,0.031709,0.04881,0.17477,0.036971,-0.071555,-0.026829,0.1159
1,0.035656,0.045193,0.10011,0.078409,-0.024198,-0.013017,0.11393
2,0.037958,0.044864,-0.0031506,0.10932,0.0014536,-0.0051238,0.10472
3,0.040918,0.047495,-0.1028,0.11919,0.0001381,-0.0041372,0.089261
4,0.043877,0.050455,-0.16035,0.10899,-0.025185,-0.0077547,0.073804
5,0.048482,0.049139,-0.16101,0.08367,-0.060045,-0.0084125,0.068214
6,0.048153,0.038944,-0.12352,0.051441,-0.090958,-0.0047949,0.076106
7,0.042562,0.022172,-0.077146,0.021843,-0.10872,-0.0018351,0.091234
8,0.036314,0.0047422,-0.045903,0.0030979,-0.11398,0.00079584,0.10669
9,0.036642,-0.0080836,-0.037353,-0.0008485,-0.11431,0.0077021,0.11787
10,0.04026,-0.01203,-0.041957,0.0047422,-0.11431,0.018555,0.12248
11,0.04026,-0.0080836,-0.048534,0.0090175,-0.11431,0.030394,0.12116
12,0.037958,0.002769,-0.050179,0.0044134,-0.11069,0.042562,0.12017
13,0.035985,0.015266,-0.044588,-0.013674,-0.10773,0.050126,0.12379
14,0.037958,0.023817,-0.03538,-0.038668,-0.11102,0.05177,0.13004
15,0.045522,0.023817,-0.026171,-0.059387,-0.11924,0.048153,0.13464
16,0.059005,0.015595,-0.016963,-0.065307,-0.12352,0.046508,0.13333
17,0.075449,0.0024402,-0.0080836,-0.052481,-0.11628,0.046837,0.12577
18,0.087288,-0.016305,-0.0028217,-0.024527,-0.097536,0.048482,0.10899
19,0.085315,-0.038339,-0.0015062,0.0063866,-0.067609,0.050784,0.090577
20,0.072489,-0.056756,0.0017824,0.030394,-0.03242,0.05177,0.076435
21,0.059663,-0.061689,0.017239,0.040589,-0.0018351,0.053086,0.073147
22,0.052099,-0.052481,0.05177,0.043549,0.018555,0.054401,0.079066
23,0.050784,-0.037682,0.090905,0.042233,0.030065,0.052757,0.08663
24,0.052757,-0.028144,0.12281,0.042562,0.038287,0.046508,0.08663
25,0.056703,-0.028473,0.13991,0.041247,0.045193,0.041247,0.079066
26,0.062952,-0.03538,0.14418,0.036642,0.050455,0.044864,0.067556
27,0.064925,-0.044259,0.13958,0.03434,0.046837,0.055717,0.056374
