,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,0.019212,-1.2818,-0.0265,0.011977,-0.16693,0.045522,0.11327
1,0.034011,-1.19,-0.02354,0.010991,-0.18173,0.038287,0.1034
2,0.052099,-1.0802,-0.025842,0.0050711,-0.20606,0.0373,0.095839
3,0.068214,-0.95226,-0.035708,-0.00051963,-0.22678,0.04881,0.093865
4,0.080711,-0.81052,-0.044917,-0.002164,-0.23566,0.074133,0.096825
5,0.086959,-0.65694,-0.047219,-0.0008485,-0.22678,0.10702,0.10176
6,0.088932,-0.49349,-0.040313,0.0017824,-0.20606,0.1376,0.10768
7,0.088603,-0.32051,-0.025842,0.0057288,-0.18337,0.15602,0.11491
8,0.088932,-0.13733,-0.007097,0.010662,-0.16528,0.15471,0.12182
9,0.088603,0.05177,0.010991,0.014608,-0.14884,0.13136,0.12675
10,0.08663,0.23594,0.023159,0.015266,-0.13174,0.093536,0.12642
11,0.087617,0.40399,0.025132,0.011977,-0.11102,0.049797,0.11952
12,0.090577,0.54047,0.018226,0.0060577,-0.0903,0.012964,0.10242
13,0.095839,0.63781,0.011648,-0.00051963,-0.071884,-0.014332,0.078409
14,0.098141,0.69471,0.010991,0.0014536,-0.060045,-0.033735,0.058348
15,0.099127,0.71345,0.01691,0.011648,-0.050179,-0.04985,0.05177
16,0.098798,0.70194,0.023817,0.025132,-0.036695,-0.06432,0.056703
17,0.10209,0.67432,0.031381,0.038287,-0.0090702,-0.074844,0.063281
18,0.10866,0.64274,0.04026,0.049468,0.03434,-0.076488,0.065254
19,0.11689,0.6194,0.052428,0.058019,0.080711,-0.071884,0.065912
20,0.12215,0.60591,0.060979,0.066569,0.12182,-0.063004,0.065583
21,0.12313,0.59736,0.062623,0.07808,0.15536,-0.051165,0.061636
22,0.11919,0.58848,0.057032,0.091563,0.19647,-0.034064,0.055388
23,0.10998,0.57533,0.047824,0.099127,0.27902,-0.011043,0.051441
24,0.10176,0.5602,0.044535,0.10011,0.44246,0.014279,0.05473
25,0.099127,0.54639,0.052757,0.098798,0.7003,0.042562,0.068214
