,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,0.055968,0.054668,0.10177,0.015692,-0.10254,0.0036737,0.023162
1,0.060515,0.058241,0.082277,-0.0015233,-0.1282,0.0026992,0.020564
2,0.062464,0.062139,0.068635,-0.013866,-0.15483,0.0078962,0.01764
3,0.06084,0.066686,0.061814,-0.019388,-0.17627,0.015042,0.012768
4,0.051745,0.069934,0.055643,-0.019388,-0.18991,0.019589,0.0075714
5,0.030957,0.070259,0.051745,-0.019063,-0.19771,0.01829,0.00042559
6,0.0069217,0.064413,0.053369,-0.018088,-0.19771,0.014068,-0.007045
7,-0.011267,0.053369,0.062139,-0.017764,-0.18504,0.012768,-0.011592
8,-0.016789,0.04395,0.076106,-0.01484,-0.15613,0.013418,-0.0067202
9,-0.0099683,0.039402,0.094295,-0.007045,-0.11586,0.016016,0.0078962
10,0.0049729,0.042001,0.11281,0.0017248,-0.069733,0.015692,0.030957
11,0.023162,0.047847,0.12743,0.010495,-0.03173,0.012119,0.045574
12,0.037454,0.050771,0.1323,0.013743,-0.012892,0.0043233,0.049147
13,0.041676,0.05207,0.12645,0.0088706,-0.013216,-0.0015233,0.042651
14,0.03518,0.047198,0.11313,-0.0028225,-0.026209,-0.0067202,0.032257
15,0.024786,0.03518,0.097218,-0.022961,-0.038876,-0.0093186,0.023812
16,0.018615,0.014717,0.080328,-0.054142,-0.04862,-0.012567,0.021863
17,0.020239,-0.010618,0.059865,-0.091495,-0.053168,-0.014191,0.022837
18,0.02641,-0.03173,0.041676,-0.13015,-0.052518,-0.012242,0.025436
19,0.029983,-0.043748,0.027385,-0.16653,-0.044398,-0.0093186,0.028684
20,0.024786,-0.045372,0.019589,-0.19251,-0.034978,-0.0073698,0.02706
21,0.014717,-0.039201,0.01829,-0.19868,-0.026858,-0.0099683,0.019914
22,0.0033489,-0.030756,0.023487,-0.18796,-0.025884,-0.016464,0.0085458
23,-0.0076946,-0.026533,0.030633,-0.16458,-0.028157,-0.025559,-0.00054884
24,-0.016789,-0.026533,0.037129,-0.13827,-0.02361,-0.03238,-0.0015233
25,-0.020687,-0.029457,0.039078,-0.11098,-0.0050961,-0.036602,0.0085458
26,-0.017764,-0.031406,0.033881,-0.079477,0.029009,-0.037902,0.027709
27,-0.0099683,-0.030756,0.022512,-0.034004,0.075131,-0.032705,0.045574
28,-0.00087364,-0.028482,0.013093,0.031932,0.1206,-0.021337,0.057267
29,0.01017,-0.026533,0.009845,0.11054,0.15926,-0.0044465,0.061165
30,0.020564,-0.024585,0.0069217,0.18492,0.18557,0.015367,0.062464
31,0.028034,-0.023285,-0.0015233,0.23754,0.19791,0.036479,0.061165
32,0.02706,-0.023935,-0.017114,0.25313,0.19044,0.051745,0.055643
33,0.01829,-0.027183,-0.038876,0.23201,0.16998,0.053694,0.045249
34,0.0033489,-0.035628,-0.059989,0.18914,0.14074,0.042975,0.030957
35,-0.013216,-0.046671,-0.072331,0.14042,0.11378,0.028034,0.016341
36,-0.028482,-0.056741,-0.070382,0.10144,0.096893,0.014717,0.0069217
37,-0.039526,-0.060963,-0.055441,0.080003,0.090072,0.0091954,0.0046481
38,-0.043423,-0.057715,-0.030756,0.074482,0.090722,0.011144,0.010495
39,-0.037252,-0.049595,-0.00054884,0.07708,0.088448,0.016016,0.016016
40,-0.02426,-0.040175,0.029009,0.079679,0.075131,0.017965,0.015692
41,-0.0099683,-0.03173,0.045574,0.078379,0.048822,0.014392,0.010495
42,0.0014,-0.025884,0.037129,0.066686,0.016991,0.0069217,0.0046481
43,0.0072465,-0.025234,0.0059473,0.050771,-0.011917,0.0010752,-0.00054884
44,0.011794,-0.029132,-0.033354,0.037129,-0.030756,-0.0021729,-0.0041217
45,0.021213,-0.031406,-0.066485,0.030308,-0.036278,-0.00087364,-0.0083442
46,0.03453,-0.027833,-0.088247,0.02706,-0.030106,0.0017248,-0.011592
47,0.045574,-0.016464,-0.098965,0.025111,-0.015165,0.0043233,-0.011592
48,0.053044,-0.0011985,-0.098316,0.01829,0.0059473,0.0062721,-0.0080194
49,0.055318,0.014717,-0.091495,0.0069217,0.029983,0.010819,-0.0015233
50,0.05142,0.028684,-0.080451,-0.0047713,0.059865,0.016016,0.0052977
51,0.044599,0.03518,-0.070058,-0.0060706,0.091372,0.022512,0.0088706
52,0.038428,0.038103,-0.068434,0.0039985,0.11573,0.029983,0.013743
53,0.030308,0.042975,-0.076229,0.019589,0.1258,0.037778,0.023487
54,0.022512,0.055318,-0.089871,0.037129,0.12093,0.046548,0.034206
55,0.016666,0.071558,-0.10514,0.049796,0.10891,0.053369,0.042326
56,0.013418,0.083251,-0.12073,0.044275,0.089748,0.055643,0.044275
57,0.0085458,0.083901,-0.13437,0.015367,0.063438,0.049147,0.03518
58,0.00042559,0.071883,-0.14152,-0.028807,0.029658,0.033556,0.017965
59,-0.0099683,0.054993,-0.13534,-0.073631,-0.0063954,0.013743,-0.0028225
60,-0.018088,0.039078,-0.10709,-0.10449,-0.036602,-0.0031473,-0.02426
61,-0.026209,0.029658,-0.056091,-0.11553,-0.059989,-0.012242,-0.042449
62,-0.03303,0.023162,-0.0080194,-0.11001,-0.07493,-0.015815,-0.052843
63,-0.040175,0.015367,0.0026992,-0.094743,-0.088896,-0.017114,-0.059339
64,-0.044723,0.003024,-0.036278,-0.076554,-0.10189,-0.019712,-0.060963
65,-0.04115,-0.0044465,-0.10481,-0.063561,-0.10968,-0.021012,-0.054467
66,-0.026209,0.0033489,-0.15223,-0.056091,-0.11651,-0.024909,-0.039851
67,-0.0037969,0.026085,-0.13177,-0.053492,-0.12495,-0.03173,-0.019712
68,0.020239,0.055968,-0.02361,-0.046996,-0.13502,-0.041799,-0.0028225
69,0.038753,0.080978,0.15406,-0.030106,-0.14574,-0.046996,0.011144
70,0.05207,0.094945,0.35414,0.0014,-0.15678,-0.045372,0.023812
71,0.057917,0.096244,0.52369,0.045574,-0.16328,-0.037902,0.032582
72,0.059216,0.085525,0.6273,0.095269,-0.16328,-0.027508,0.037129
73,0.057592,0.066686,0.65037,0.14464,-0.15678,-0.01549,0.041351
74,0.051745,0.042975,0.60749,0.18816,-0.14801,-0.0011985,0.046548
75,0.039727,0.01829,0.52434,0.22454,-0.13989,0.01017,0.050446
76,0.022512,-0.0015233,0.42105,0.24825,-0.12982,0.018615,0.047847
77,0.0039985,-0.017114,0.30152,0.25345,-0.11975,0.021863,0.04395
78,-0.013866,-0.028807,0.16738,0.23526,-0.10611,0.019589,0.038103
79,-0.029457,-0.039851,0.028684,0.19758,-0.085648,0.016341,0.031282
80,-0.045697,-0.053168,-0.097666,0.14854,-0.060963,0.016666,0.022188
81,-0.059014,-0.06551,-0.19089,0.097218,-0.034329,0.017316,0.0095202
82,-0.067459,-0.072981,-0.2474,0.048497,-0.0096434,0.013743,-0.0054209
83,-0.068109,-0.071357,-0.26657,0.0046481,0.0069217,0.0062721,-0.020362
84,-0.061288,-0.057065,-0.26104,-0.03173,0.019264,-0.0018481,-0.033679
85,-0.046347,-0.024585,-0.24026,-0.056741,0.033556,-0.0044465,-0.039201
86,-0.023285,0.021863,-0.21135,-0.071032,0.049147,-0.0015233,-0.034654
87,0.003024,0.06896,-0.18017,-0.074605,0.064737,0.0039985,-0.024585
88,0.023162,0.10729,-0.15581,-0.067784,0.075456,0.010495,-0.0093186
89,0.038103,0.13392,-0.13892,-0.04927,0.078055,0.016666,0.0078962
90,0.049147,0.14724,-0.11748,-0.021661,0.073507,0.022837,0.021863
91,0.057917,0.14886,-0.082725,0.011144,0.06084,0.027385,0.030633
92,0.067011,0.14269,-0.034978,0.040377,0.042651,0.032582,0.033231
93,0.073182,0.13165,0.022188,0.055968,0.020564,0.037778,0.030957
94,0.073832,0.1206,0.0865,0.055643,-0.0063954,0.042326,0.029333
95,0.069285,0.11054,0.15211,0.042326,-0.038876,0.043625,0.031282
96,0.057592,0.095919,0.20213,0.019589,-0.080776,0.039727,0.032582
97,0.039727,0.074157,0.22,-0.0080194,-0.12885,0.028359,0.029658
98,0.019589,0.042001,0.19888,-0.038876,-0.17367,0.0059473,0.022188
99,0.003024,0.0059473,0.14594,-0.070058,-0.2081,-0.02361,0.011469
100,-0.007045,-0.028807,0.081627,-0.098641,-0.23149,-0.04992,0.0033489
101,-0.012567,-0.054142,0.025436,-0.12527,-0.23928,-0.064536,0.0010752
102,-0.012892,-0.063886,-0.010618,-0.14639,-0.23246,-0.06551,-0.0011985
103,-0.012892,-0.058365,-0.022961,-0.15776,-0.21427,-0.059664,-0.010618
104,-0.013541,-0.039851,-0.017764,-0.15711,-0.18894,-0.052843,-0.02361
105,-0.01614,-0.015165,0.0010752,-0.14606,-0.16035,-0.047321,-0.033354
106,-0.021661,0.0095202,0.026735,-0.1243,-0.1308,-0.048296,-0.035953
107,-0.027183,0.028034,0.050771,-0.095393,-0.10286,-0.051868,-0.031081
108,-0.03173,0.038103,0.056942,-0.063561,-0.077853,-0.055766,-0.023285
109,-0.03238,0.039078,0.037454,-0.036278,-0.053168,-0.055116,-0.016789
110,-0.026858,0.034855,-0.0011985,-0.012892,-0.023935,-0.046022,-0.014191
111,-0.01614,0.028034,-0.042774,0.012768,0.011469,-0.029782,-0.013541
112,0.00075039,0.023487,-0.075579,0.046873,0.051745,-0.011267,-0.010943
113,0.020239,0.023162,-0.09929,0.090397,0.095919,0.0026992,-0.0050961
114,0.038103,0.024786,-0.1191,0.13002,0.14302,0.0069217,0.0014
115,0.051745,0.025436,-0.14152,0.14919,0.18394,0.0043233,0.0091954
116,0.06084,0.021538,-0.16782,0.14204,0.20765,-0.0024977,0.01829
117,0.066686,0.015042,-0.19608,0.11248,0.21025,-0.010618,0.024461
118,0.076106,0.0059473,-0.22109,0.071883,0.19369,-0.013216,0.023812
119,0.08585,-0.0015233,-0.23798,0.031607,0.16575,-0.008669,0.01894
120,0.088448,-0.0073698,-0.25065,0.0026992,0.13684,0.00075039,0.013093
121,0.078704,-0.012242,-0.26202,-0.011267,0.11313,0.011794,0.012768
122,0.061165,-0.014516,-0.26851,-0.011592,0.10079,0.021863,0.016341
123,0.044924,-0.011917,-0.26202,-0.0031473,0.10469,0.031932,0.018615
124,0.03453,-0.0041217,-0.24058,0.013418,0.12255,0.0433,0.023487
125,0.032257,0.0046481,-0.21265,0.031282,0.14269,0.053694,0.032906
