,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
0,0.032696,-0.056756,0.027763,0.053415,0.087617,-0.029131,0.024803,0.076106
1,0.040589,-0.07583,0.023159,0.06361,0.083342,-0.039984,0.047824,0.074133
2,0.044864,-0.089314,0.018884,0.075449,0.071173,-0.045246,0.074462,0.076764
3,0.042562,-0.10247,0.01987,0.082026,0.061307,-0.045903,0.10143,0.083999
4,0.03434,-0.11431,0.023817,0.078737,0.055717,-0.046561,0.12149,0.093536
5,0.023817,-0.12319,0.02875,0.070187,0.053743,-0.053138,0.13136,0.10011
6,0.014937,-0.12089,0.033025,0.063938,0.048482,-0.064978,0.13333,0.10209
7,0.0073732,-0.10378,0.03434,0.062294,0.04026,-0.077803,0.133,0.1011
8,0.0040845,-0.070897,0.036314,0.059334,0.026447,-0.087341,0.13563,0.099785
9,0.0090175,-0.027816,0.038944,0.052757,0.010991,-0.088656,0.14024,0.1034
10,0.01987,0.018226,0.042891,0.044206,-0.00051963,-0.080763,0.14451,0.11294
11,0.032038,0.056046,0.044535,0.036314,-0.0047949,-0.068924,0.1478,0.12346
12,0.039273,0.079395,0.041904,0.032696,-0.0028217,-0.057085,0.14846,0.1284
13,0.046508,0.086301,0.04026,0.0373,-0.0008485,-0.047877,0.14912,0.12741
14,0.050455,0.081368,0.039602,0.044535,-0.00051963,-0.042615,0.14912,0.12412
15,0.049468,0.073147,0.040918,0.050126,0.00079584,-0.043601,0.1455,0.11787
16,0.042891,0.067556,0.046508,0.058348,0.0073732,-0.049521,0.14287,0.10669
17,0.031052,0.068543,0.049468,0.067885,0.01691,-0.060373,0.14155,0.096496
18,0.015595,0.071831,0.045522,0.073476,0.023817,-0.075173,0.14287,0.092879
19,-0.0015062,0.071831,0.037629,0.071502,0.026447,-0.090958,0.14648,0.096167
20,-0.014661,0.06624,0.027105,0.061307,0.031052,-0.10543,0.15306,0.10834
21,-0.022225,0.056374,0.020857,0.045851,0.04322,-0.11332,0.15569,0.12149
22,-0.022883,0.048153,0.019541,0.034011,0.058019,-0.11628,0.15207,0.12938
23,-0.020581,0.047495,0.025132,0.034998,0.0692,-0.12187,0.14418,0.13366
24,-0.014332,0.052099,0.032367,0.036971,0.070516,-0.13568,0.13366,0.13826
25,-0.002164,0.056374,0.035985,0.029736,0.064925,-0.15476,0.12116,0.14122
26,0.012964,0.056046,0.034998,0.010662,0.058019,-0.16989,0.11557,0.14188
27,0.027434,0.048153,0.02875,-0.011043,0.051441,-0.17318,0.12182,0.14221
28,0.038287,0.038287,0.021186,-0.024198,0.050455,-0.16397,0.13497,0.14385
29,0.046837,0.032696,0.018884,-0.0265,0.058348,-0.14654,0.1501,0.1455
30,0.054072,0.031381,0.025132,-0.018278,0.072818,-0.12878,0.16293,0.14484
31,0.05769,0.027763,0.036971,-0.002164,0.088603,-0.12286,0.17181,0.13859
32,0.053415,0.015595,0.042891,0.016253,0.10044,-0.13207,0.17181,0.12741
33,0.04322,-0.0008485,0.040918,0.033683,0.1034,-0.14654,0.16391,0.11097
34,0.031709,-0.01795,0.034998,0.044864,0.095839,-0.15344,0.15142,0.093865
35,0.022501,-0.036366,0.032367,0.049139,0.083013,-0.15081,0.14287,0.084986
36,0.017568,-0.056098,0.034011,0.048482,0.07216,-0.14259,0.14056,0.089919
37,0.014608,-0.073528,0.034669,0.043877,0.067885,-0.13207,0.14287,0.10801
38,0.018884,-0.08471,0.032367,0.037629,0.068543,-0.12384,0.14747,0.13267
39,0.029407,-0.085039,0.031709,0.030394,0.067556,-0.11924,0.14879,0.15635
40,0.044864,-0.074515,0.032367,0.022172,0.059992,-0.11661,0.14352,0.17148
41,0.060979,-0.06136,0.034011,0.015595,0.044864,-0.11069,0.133,0.17773
42,0.070516,-0.051165,0.033025,0.014279,0.029736,-0.10839,0.11919,0.17707
43,0.0692,-0.048205,0.030723,0.01987,0.020199,-0.11299,0.10472,0.17214
44,0.058019,-0.048534,0.029407,0.030065,0.01691,-0.12121,0.093208,0.16654
45,0.043549,-0.051494,0.030065,0.036642,0.017568,-0.1268,0.087288,0.16589
46,0.032038,-0.052481,0.031052,0.03434,0.017568,-0.12746,0.088275,0.16687
47,0.030065,-0.047548,0.031052,0.029078,0.014608,-0.12582,0.091234,0.16885
48,0.038944,-0.03242,0.029407,0.029407,0.0077021,-0.11957,0.093208,0.16654
49,0.057032,-0.004466,0.025461,0.038616,0.0014536,-0.10872,0.094852,0.16095
50,0.077422,0.033683,0.020857,0.055717,0.002769,-0.093589,0.096825,0.15635
51,0.091234,0.073147,0.015924,0.073476,0.016253,-0.080763,0.098469,0.15471
52,0.096825,0.10538,0.01132,0.085972,0.038287,-0.074186,0.097483,0.15799
53,0.095181,0.12116,0.010662,0.088932,0.058348,-0.071884,0.095181,0.16161
54,0.087617,0.12017,0.014937,0.083342,0.067885,-0.070568,0.095181,0.16556
55,0.079724,0.10866,0.026776,0.07216,0.06624,-0.068266,0.094852,0.16654
56,0.081039,0.099785,0.040589,0.055388,0.059005,-0.062347,0.092221,0.15865
57,0.08959,0.095839,0.051441,0.033354,0.053415,-0.055769,0.090248,0.14024
58,0.096496,0.094194,0.057032,0.010662,0.055059,-0.044588,0.088932,0.1159
59,0.094194,0.091234,0.056046,-0.0084125,0.060979,-0.033078,0.085644,0.091892
60,0.083013,0.083342,0.050455,-0.020252,0.066898,-0.023211,0.079395,0.073476
61,0.061965,0.065912,0.041247,-0.024856,0.069858,-0.010057,0.0692,0.058676
62,0.037629,0.046837,0.032696,-0.021238,0.068214,0.0057288,0.054401,0.04618
63,0.018555,0.027763,0.024474,-0.010715,0.060321,0.018555,0.041904,0.03434
64,0.0080309,0.0050711,0.01691,0.0024402,0.045193,0.027434,0.032038,0.024145
65,0.0014536,-0.022554,0.010662,0.01132,0.02283,0.029736,0.02283,0.014937
66,-0.0041372,-0.051823,0.0067154,0.016581,0.0001381,0.028421,0.015924,0.0060577
67,-0.010386,-0.075501,0.0073732,0.018884,-0.013345,0.027105,0.0086887,-0.0054526
68,-0.014661,-0.087669,0.01132,0.018884,-0.010057,0.024474,0.0024402,-0.016305
69,-0.016305,-0.086683,0.017239,0.019541,0.0054,0.020857,-0.0031506,-0.020252
70,-0.016305,-0.076159,0.023488,0.021186,0.027105,0.017897,-0.0077547,-0.014003
71,-0.01795,-0.062347,0.024474,0.022501,0.043549,0.015924,-0.013674,-0.0015062
72,-0.023211,-0.048863,0.020199,0.02579,0.04881,0.013622,-0.024198,0.0080309
73,-0.030775,-0.038011,0.012635,0.033683,0.042233,0.0096753,-0.038997,0.0077021
74,-0.039326,-0.028144,0.0080309,0.048153,0.02875,0.002769,-0.053467,-0.0054526
75,-0.04689,-0.014332,0.0083598,0.062294,0.016581,-0.0061104,-0.065307,-0.024198
76,-0.050836,-0.0015062,0.012964,0.067556,0.0083598,-0.011372,-0.07024,-0.04097
77,-0.050507,0.0090175,0.019541,0.058676,0.0054,-0.012688,-0.068595,-0.051494
78,-0.044259,0.013951,0.026776,0.036971,0.00079584,-0.011372,-0.061031,-0.057414
79,-0.031762,0.012635,0.032367,0.014279,-0.0077547,-0.007097,-0.048534,-0.060373
80,-0.014661,0.0057288,0.03434,-0.0024928,-0.015319,-0.0034794,-0.035708,-0.064649
81,0.00046697,-0.010057,0.031381,-0.0093991,-0.018936,-0.0011774,-0.025514,-0.072542
82,0.0090175,-0.033078,0.027434,-0.0057815,-0.020581,0.0014536,-0.021567,-0.081421
83,0.012635,-0.04393,0.026447,0.0024402,-0.019923,0.0024402,-0.021567,-0.091287
84,0.018884,-0.014332,0.030394,0.013622,-0.01499,0.0024402,-0.021896,-0.10378
85,0.032038,0.06624,0.03434,0.021843,-0.0011774,0.0067154,-0.020581,-0.1176
86,0.051113,0.1774,0.03434,0.026447,0.016253,0.021186,-0.016963,-0.12976
87,0.069858,0.28033,0.030065,0.028092,0.027105,0.042891,-0.013017,-0.13305
88,0.082355,0.34479,0.020857,0.033354,0.025461,0.063938,-0.0061104,-0.12911
89,0.088932,0.35893,0.011977,0.041247,0.013622,0.080053,0.0030979,-0.12516
90,0.091234,0.33197,0.0044134,0.047824,0.0040845,0.088275,0.012635,-0.12187
91,0.093536,0.27408,0.0021113,0.05177,0.0034268,0.093536,0.018555,-0.1176
92,0.094194,0.20469,0.0011247,0.050784,0.0086887,0.099127,0.019541,-0.11036
93,0.097154,0.14122,-0.0008485,0.04618,0.011648,0.10636,0.016581,-0.099509
94,0.10077,0.10143,-0.0077547,0.039273,0.0073732,0.11031,0.013622,-0.085367
95,0.10472,0.087946,-0.014332,0.032696,-0.0031506,0.1057,0.0080309,-0.071226
96,0.10899,0.094523,-0.016305,0.028092,-0.014332,0.09551,0.0057288,-0.060045
97,0.10702,0.10866,-0.010715,0.027434,-0.021238,0.085644,0.010004,-0.054783
98,0.093865,0.12281,-0.0018351,0.029736,-0.019265,0.082355,0.019212,-0.057085
99,0.072818,0.13596,0.002769,0.032038,-0.012688,0.087617,0.027434,-0.063333
100,0.052099,0.1501,0.0034268,0.031052,-0.007097,0.099456,0.030065,-0.067609
101,0.035327,0.16227,0.0044134,0.029407,-0.0018351,0.11064,0.02875,-0.067937
102,0.027434,0.17378,0.0057288,0.027105,0.0034268,0.11623,0.02579,-0.063333
103,0.028092,0.18134,0.0070443,0.021186,0.0086887,0.11393,0.023817,-0.056098
104,0.03434,0.18496,0.012306,0.015595,0.014937,0.10603,0.021514,-0.048863
105,0.044864,0.18463,0.021186,0.015924,0.020199,0.096496,0.020199,-0.04393
106,0.056703,0.18102,0.031709,0.024803,0.01987,0.084657,0.020199,-0.04097
107,0.065912,0.16654,0.035985,0.036314,0.013951,0.071831,0.02283,-0.042615
108,0.069529,0.13728,0.036314,0.046837,0.0060577,0.057032,0.025461,-0.047548
109,0.066898,0.095181,0.033025,0.05473,-0.002164,0.041904,0.023817,-0.052152
110,0.062294,0.038287,0.027105,0.058348,-0.012359,0.026119,0.017568,-0.05544
111,0.059005,-0.02946,0.01987,0.056374,-0.024527,0.013293,0.011977,-0.056756
112,0.058019,-0.094576,0.014608,0.050784,-0.034393,0.0073732,0.011648,-0.057414
113,0.053743,-0.14423,0.0083598,0.045193,-0.036695,0.0090175,0.017568,-0.057743
114,0.044535,-0.17515,0.0011247,0.038944,-0.033078,0.017239,0.026119,-0.057414
115,0.032038,-0.19126,-0.0061104,0.028421,-0.035708,0.026776,0.033354,-0.050836
116,0.018226,-0.1985,-0.015319,0.010662,-0.045574,0.03434,0.039931,-0.039984
117,0.0054,-0.2054,-0.025842,-0.013674,-0.054125,0.036314,0.047495,-0.028144
118,-0.0087413,-0.21001,-0.031433,-0.040641,-0.057743,0.033354,0.053086,-0.018278
119,-0.020581,-0.20179,-0.027487,-0.061031,-0.056098,0.029736,0.051441,-0.010386
120,-0.024527,-0.17548,-0.01499,-0.066951,-0.048534,0.027105,0.041575,-0.0051238
121,-0.021896,-0.13207,0.0024402,-0.055112,-0.034064,0.023817,0.026119,-0.007097
122,-0.012688,-0.075501,0.023817,-0.032091,-0.015319,0.017897,0.013622,-0.016963
123,-0.00051963,-0.012688,0.046508,-0.0057815,0.0017824,0.0096753,0.0080309,-0.033735
124,0.0044134,0.052099,0.063938,0.021514,0.012635,-0.0015062,0.0034268,-0.051823
125,-0.0024928,0.11689,0.070845,0.042562,0.015924,-0.013017,-0.002164,-0.060702
126,-0.017621,0.17411,0.062952,0.052428,0.010662,-0.021567,-0.0090702,-0.057414
127,-0.03242,0.21555,0.045522,0.054401,0.0050711,-0.022883,-0.01499,-0.044917
128,-0.042944,0.23298,0.025461,0.056374,0.0001381,-0.019923,-0.017292,-0.028802
129,-0.051494,0.23002,0.010004,0.060979,0.00046697,-0.014661,-0.018607,-0.014661
130,-0.059058,0.20897,0.0014536,0.064596,0.0083598,-0.010715,-0.021567,-0.0080836
131,-0.064649,0.17214,0.00079584,0.06624,0.024474,-0.004466,-0.0265,-0.013345
132,-0.065635,0.1205,0.0057288,0.067885,0.042233,0.0011247,-0.030118,-0.028144
133,-0.062018,0.050784,0.012635,0.0692,0.059663,0.0077021,-0.031433,-0.041299
134,-0.054454,-0.039655,0.014608,0.067885,0.073476,0.015266,-0.029131,-0.049192
135,-0.042944,-0.1416,0.0096753,0.065912,0.082684,0.02875,-0.02946,-0.04689
136,-0.030447,-0.2327,0.00046697,0.066569,0.088275,0.047495,-0.02946,-0.037353
137,-0.013017,-0.28861,-0.0054526,0.068871,0.087946,0.06624,-0.025842,-0.030447
138,0.0096753,-0.29486,-0.0057815,0.072818,0.082684,0.083342,-0.013674,-0.032749
139,0.031052,-0.25638,-0.0024928,0.076764,0.079066,0.097483,0.0021113,-0.045246
140,0.04618,-0.18469,-0.0024928,0.076106,0.08367,0.1136,0.013951,-0.06432
141,0.053086,-0.10444,-0.0057815,0.07216,0.093865,0.12938,0.019541,-0.084052
142,0.054401,-0.036695,-0.0077547,0.071502,0.10636,0.14254,0.01987,-0.09622
143,0.055388,0.010662,-0.0064392,0.076764,0.11393,0.14879,0.022172,-0.096878
144,0.058019,0.041247,0.0001381,0.085644,0.11261,0.14484,0.026119,-0.087669
145,0.06361,0.059334,0.0070443,0.096167,0.10044,0.13267,0.030065,-0.075501
146,0.068543,0.067227,0.010991,0.10077,0.080053,0.12017,0.030723,-0.065964
147,0.070845,0.066569,0.0096753,0.097483,0.057361,0.11393,0.030394,-0.062676
148,0.072489,0.055717,0.0030979,0.083013,0.031381,0.1136,0.027434,-0.06432
149,0.071502,0.039931,-0.0057815,0.059663,-0.0051238,0.11327,0.024145,-0.068924
150,0.067885,0.02579,-0.012359,0.034669,-0.048863,0.11327,0.019541,-0.073528
151,0.059992,0.020199,-0.016305,0.014608,-0.088327,0.11426,0.015924,-0.074844
152,0.05177,0.026119,-0.012359,0.0047422,-0.11365,0.11557,0.010662,-0.071884
153,0.042233,0.036971,0.0077021,0.0090175,-0.12089,0.11458,0.0086887,-0.066293
154,0.030723,0.047824,0.053743,0.024474,-0.11595,0.11064,0.010662,-0.062347
155,0.017897,0.059992,0.11721,0.045851,-0.10773,0.10274,0.014937,-0.059058
156,0.0090175,0.077751,0.1751,0.062294,-0.10477,0.090577,0.015595,-0.062018
157,0.0050711,0.095839,0.20601,0.066569,-0.10609,0.076764,0.014937,-0.07024
158,0.0044134,0.11195,0.20404,0.057361,-0.10674,0.064267,0.013622,-0.075501
159,-0.00051963,0.11689,0.17773,0.043877,-0.10773,0.055059,0.015266,-0.068924
160,-0.0087413,0.11064,0.14056,0.030065,-0.11201,0.049468,0.023159,-0.055769
161,-0.017292,0.094194,0.10801,0.019212,-0.11957,0.043549,0.034669,-0.044259
162,-0.02354,0.071831,0.081697,0.012306,-0.12516,0.036971,0.04618,-0.040641
163,-0.027158,0.047495,0.061965,0.013622,-0.12319,0.031709,0.050126,-0.042944
164,-0.031104,0.029407,0.045851,0.018884,-0.10707,0.026447,0.040918,-0.045246
165,-0.035708,0.019212,0.03434,0.01987,-0.079119,0.020857,0.025132,-0.046561
166,-0.037353,0.015924,0.027105,0.015266,-0.045574,0.016253,0.0080309,-0.046232
167,-0.03242,0.014608,0.02283,0.0080309,-0.015319,0.014608,-0.0034794,-0.049521
168,-0.018278,0.01132,0.019212,0.0017824,0.010662,0.019212,-0.007097,-0.05544
169,-0.0047949,0.0037556,0.01691,-0.0051238,0.031052,0.029078,-0.0067681,-0.059716
170,0.0014536,-0.004466,0.01691,-0.011701,0.049797,0.042562,-0.002164,-0.060373
171,-0.0031506,-0.007097,0.016253,-0.014332,0.064596,0.060321,0.0001381,-0.056756
172,-0.016634,-0.0031506,0.015924,-0.0097279,0.074791,0.071173,0.0030979,-0.048863
173,-0.029789,0.0030979,0.012964,-0.0008485,0.083013,0.068214,0.0077021,-0.039655
174,-0.039326,0.0077021,0.0080309,0.0086887,0.097483,0.053743,0.010333,-0.030118
175,-0.034064,0.010662,0.002769,0.014279,0.1284,0.039931,0.0096753,-0.020252
176,-0.015976,0.012306,0.0034268,0.015924,0.18726,0.036642,0.0067154,-0.0077547
177,0.011977,0.011977,0.0073732,0.019212,0.26685,0.042891,0.0040845,0.0080309
178,0.036642,0.0093464,0.012306,0.026776,0.34644,0.051113,0.0067154,0.026119
179,0.050126,0.0060577,0.014608,0.039602,0.40037,0.05177,0.012964,0.045522
180,0.050455,0.0057288,0.015266,0.053415,0.41385,0.044206,0.02283,0.062294
181,0.04026,0.010662,0.01691,0.062952,0.38491,0.034011,0.034011,0.076435
182,0.027105,0.021186,0.018555,0.070187,0.3221,0.023817,0.04618,0.087288
183,0.019212,0.030723,0.018226,0.077422,0.24284,0.020528,0.062623,0.09255
184,0.018884,0.039273,0.021514,0.082355,0.1626,0.02283,0.078409,0.092221
